actual_delay,predicted_delay,absolute_error,relative_error
44.398788,26.791635,17.607153,0.396568
8.342250,0.000000,8.342250,1.000000
11.934082,0.000000,11.934082,1.000000
20.153872,0.000000,20.153872,1.000000
18.380264,0.000000,18.380264,1.000000
41.641112,26.781730,14.859382,0.356844
1.113654,0.000000,1.113654,1.000000
11.575050,0.000000,11.575050,1.000000
6.903359,0.000000,6.903359,1.000000
0.175917,0.000000,0.175917,1.000000
5.680877,0.000000,5.680877,1.000000
19.554936,0.000000,19.554936,1.000000
9.360628,0.000000,9.360628,1.000000
10.176997,0.000000,10.176997,1.000000
25.223016,0.000000,25.223016,1.000000
12.354426,0.000000,12.354426,1.000000
18.268294,0.000000,18.268294,1.000000
19.405141,0.000000,19.405141,1.000000
2.452960,0.000000,2.452960,1.000000
12.793972,0.000000,12.793972,1.000000
12.574023,0.000000,12.574023,1.000000
24.598016,0.000000,24.598016,1.000000
40.352008,26.438876,13.913132,0.344794
4.985925,0.000000,4.985925,1.000000
32.579725,0.000000,32.579725,1.000000
28.623517,0.000000,28.623517,1.000000
43.965355,26.434026,17.531329,0.398753
36.945620,26.437299,10.508321,0.284427
3.365183,0.000000,3.365183,1.000000
7.292372,0.000000,7.292372,1.000000
26.620732,0.000000,26.620732,1.000000
13.941810,26.416228,12.474418,0.894749
12.083004,0.000000,12.083004,1.000000
12.561291,26.398050,13.836759,1.101540
9.174464,0.000000,9.174464,1.000000
50.348002,0.000000,50.348002,1.000000
10.442117,0.000000,10.442117,1.000000
0.303664,0.000000,0.303664,1.000000
1.776446,0.000000,1.776446,1.000000
29.345360,0.000000,29.345360,1.000000
56.372427,26.268875,30.103552,0.534012
7.037562,0.000000,7.037562,1.000000
12.246331,0.000000,12.246331,1.000000
12.509204,0.000000,12.509204,1.000000
1.789614,0.000000,1.789614,1.000000
10.492080,0.000000,10.492080,1.000000
0.706687,0.000000,0.706687,1.000000
0.854799,0.000000,0.854799,1.000000
17.560835,0.000000,17.560835,1.000000
1.068726,0.000000,1.068726,1.000000
14.613501,0.000000,14.613501,1.000000
22.799556,26.068336,3.268779,0.143370
